Source,Target
痔疮出血,乳痈
劳伤虚损,咽喉肿痛
咳嗽,痈肿恶疮
痢疾,癥积
跌打损伤,腰胁疼痛
痈疖疮,外伤出血
纳呆,纳
腰背酸疼,腰
食欲不振,感冒
精神烦躁,心中烦乱
蛇虫咬伤,湿疹瘙痒
腹中发凉,发
阴暑头痛,风湿痹痛
头痛,膨胀
肠燥便秘,风湿疼痛
脚气肿痛,脘腹胀痛
肺结核,梅毒
胃堵,胃
产后浮肿,黄疸
风湿痹痛,婴幼儿泄泻
瘫痪,阳痿
头晕目眩,筋骨疼痛
疔疮,瘰疬结核
咽痛喉痹,遗精
内外伤出血,瘰疬
经行先期,经期赶前
泄泻,小儿百日咳
月经不调,内外伤出血
崩漏,痛风
风湿关节痛,心胃气痛
不育,育
腹痛,发热
筋骨挛痛,跌打损伤
咳嗽,痹证
鼻衄,吐衄
头跳,头搏动感
筋骨疼痛,瘫痪
湿毒疮,疟疾
牙痛,无名肿毒
流行性感冒,经闭
翳膜遮睛,水肿
肝胃气滞,毒蛇咬伤
齿龈萎缩,龈
咳嗽,小儿疝气
跌打损伤,乳痛
虫积腹痛,风湿疼痛
月经不调,白秃疮
胃痛,肺燥干咳
记忆力减退,好忘
食积,泄泻痢疾
痈肿疔疮,肺燥咳嗽
胃脘部疼痛不适,胃脘痛
阴囊破溃渗出,囊
小便不利,流脑
破伤风,衄血
吐血,倦怠嗜卧
毒蛇,衄血
泄泻,胸腹积水
骨折,霍乱转筋
尿血,刀伤出血
风寒感冒,烧烫伤
消渴,烫火伤
手变色,色
泄泻,阴虚劳嗽
吐血,风湿疼痛
溃疡,痄腮
便血,中风痰壅
崩漏,外伤感染
跌打损伤,鱼蟹中毒
跌打损伤,结气咳逆
胸膈胀闷,胀
颈部搏动感,搏
阴痒,热淋
崩漏,中暑烦渴
痔疮,泄痢
大便秘结,盗汗
疖肿,黄水疮
肺寒咳逆上气,月经不调
目畏热,目
痞块,块
梦遗滑精,咯血
水肿,食少腹胀
痈疽疔疮,口疮
毒蛇咬伤,津伤口渴
阴菌,阴
带下,阴虚劳热
下腹部包块,部
中风偏枯,偏
食少口干,咽喉肿痛
痈疽疮肿,乳痈
